id,jun,jul,ago,set,out,nov,dez,jan
2030608,0.0,0.0,0.0,0.0,0.0,0.0,1312.0,3279.0
2036178,50.0,0.0,650.0,650.0,200.0,650.0,1225.0,1505.0
2041894,0.0,0.0,80.0,0.0,0.0,0.0,800.0,0.0
2042562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0
2042889,0.0,0.0,0.0,0.0,0.0,0.0,800.0,1500.0
2046194,0.0,0.0,0.0,0.0,0.0,1650.0,1050.0,0.0
2048871,3000.0,2400.0,2200.0,2000.0,3000.0,4800.0,6010.0,5150.0
2049527,611.0,534.0,1335.0,1632.0,2769.0,1944.0,3845.0,4221.0
2058259,1000.0,0.0,0.0,0.0,6360.0,2880.0,7780.0,12280.0
2061157,1872.0,1533.0,657.0,3285.0,5256.0,6720.0,12770.0,0.0
2061477,0.0,0.0,0.0,0.0,0.0,0.0,6400.0,20700.0
2064487,0.0,0.0,0.0,0.0,0.0,0.0,4600.0,12780.0
2067877,3060.0,3420.0,1360.0,4986.0,2650.0,4460.0,15190.0,13190.0
2083416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2086298,150.0,0.0,1950.0,2700.0,150.0,0.0,2160.0,0.0
2086817,0.0,0.0,0.0,0.0,0.0,0.0,16487.0,27669.0
2103758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2104066,0.0,445.0,2283.0,2038.0,2464.0,1849.0,3292.0,2011.0
2105092,0.0,0.0,0.0,0.0,0.0,400.0,4190.0,7510.0
2110006,1644.0,1683.0,1881.0,2273.0,3074.0,2461.0,5220.0,7500.0
2110106,0.0,0.0,0.0,0.0,0.0,320.0,5450.0,13420.0
2114811,0.0,0.0,0.0,0.0,0.0,0.0,10500.0,15400.0
2116834,350.0,0.0,2800.0,1200.0,0.0,1700.0,9650.0,20850.0
2121308,0.0,0.0,0.0,0.0,0.0,0.0,9895.0,14413.0
2125861,0.0,178.0,1869.0,267.0,0.0,1420.0,4279.0,6269.0
2128244,475.0,1235.0,693.0,952.0,2973.0,2829.0,2731.0,4240.0
2128248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13250.0
2133659,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
2137779,385.0,195.0,0.0,2610.0,8490.0,5890.0,9490.0,8320.0
2139954,180.0,0.0,2340.0,1150.0,4140.0,3220.0,500.0,9110.0
2143919,347.0,0.0,4862.0,1116.0,0.0,1140.0,381.0,0.0
2147719,0.0,0.0,0.0,0.0,0.0,0.0,37000.0,83250.0
2152951,0.0,0.0,0.0,760.0,11396.0,796.0,16808.0,19043.0
2158008,0.0,0.0,0.0,0.0,0.0,0.0,11283.0,27922.0
2159840,500.0,485.0,1595.0,125.0,0.0,2302.0,6159.0,9041.0
2160618,0.0,0.0,0.0,0.0,0.0,1400.0,5200.0,7750.0
